GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sam-ims,com.qa.ims.controller,ItemController,2,123,0,2,1,33,1,7,1,6
sam-ims,com.qa.ims.controller,OrderlineController,2,125,0,2,1,33,1,7,1,6
sam-ims,com.qa.ims.controller,Action,33,83,2,0,9,9,3,3,2,3
sam-ims,com.qa.ims.controller,CustomerController,2,105,0,2,1,29,1,7,1,6
sam-ims,com.qa.ims.controller,OrderController,2,107,0,2,1,29,1,7,1,6
sam-ims,com.qa.ims,Ims,240,35,22,2,61,9,19,4,4,3
sam-ims,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
sam-ims,com.qa.ims.persistence.dao,OrdersDaoMysql,121,181,1,1,32,38,4,7,3,7
sam-ims,com.qa.ims.persistence.dao,ItemsDaoMysql,80,238,1,1,26,46,2,9,1,9
sam-ims,com.qa.ims.persistence.dao,OrderlineDaoMysql,178,191,1,1,42,37,5,7,4,7
sam-ims,com.qa.ims.persistence.dao,CustomerDaoMysql,170,131,2,0,42,28,5,6,4,6
sam-ims,com.qa.ims.services,ItemServices,0,28,0,0,0,8,0,5,0,5
sam-ims,com.qa.ims.services,OrderlineServices,0,28,0,0,0,8,0,5,0,5
sam-ims,com.qa.ims.services,OrderServices,0,28,0,0,0,8,0,5,0,5
sam-ims,com.qa.ims.services,CustomerServices,0,28,0,0,0,8,0,5,0,5
sam-ims,com.qa.ims.persistence.domain,Orderline,0,281,1,37,0,70,1,32,0,14
sam-ims,com.qa.ims.persistence.domain,Orders,0,178,0,30,0,48,0,26,0,11
sam-ims,com.qa.ims.persistence.domain,Domain,33,83,2,0,9,11,3,3,2,3
sam-ims,com.qa.ims.persistence.domain,Customer,0,176,0,30,0,48,0,26,0,11
sam-ims,com.qa.ims.persistence.domain,Items,0,201,0,20,0,51,0,23,0,13
sam-ims,com.qa.ims.utils,Utils,8,0,0,0,2,0,1,0,1,0
